classification,tweet
"positive","Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)"
"negative","Theo Walcott is still shit, watch Rafa and Johnny deal with him on Saturday."
"negative","its not that I'm a GSP fan, i just hate Nick Diaz. can't wait for february."
"negative","Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)"
"positive","with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow."
"negative","Talking about ACT's &amp;&amp; SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out."
"negative","They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll"
"positive","@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)"
"positive","One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol http://t.co/tqORFrXB"
"positive","@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked"
"positive","Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116"
"positive","One ticket left for the @49ers game tomorrow!  Don't miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!"
"negative","AFC away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him."
"negative","Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow..."
"positive","Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit"
"positive","@TheFFAddict I had Vick and Flacco, needed an upgrade.  Vick may get benched, Jennings a back up again soon. I thought it was a win for me."
"positive","@lisahochstein KEY LARGO, FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur's!!"
"positive","Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC"
"positive","@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ... Hmmmm I may do that .."
"positive","YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!"
"negative","@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies,1st she said she was alone &amp;the hosp.now she's saying how weird it was for Keiffer's"
"negative","@MyBeautyisBrown LMFAO his big ass get on my nerves, you going to class tomorrow?"
"negative","@thehuwdavies you think the Boro will beat Swansea? I'm not so sure, December/January is when we implode"
"positive","@JennetteMcHevan I have studied all day but tomorrow I'm going out with friends! :D Omg Jennette did?!!!! I'm gonna look! &lt;3"
"positive","Good morning Thursday. "Life is fragile. We're not guaranteed a tomorrow so give it everything you've got." - Tim Cook [Do it for Jobs!]"
"positive","#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://t.co/DlXY0LCg"
"positive","@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)"
"negative","My teachers call themselves givng us candy....wasn't even the GOOD stuff. I might go to Walmart or CVS tomorrow/"
"positive","@jackseymour11 I may have an Android phone by the time I get back to school! :)"
"negative","Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh"
"positive","taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night."
"positive","The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up"
"negative","@joeeewilliams that sucks, amazon might have some left .. hate that i won't have it until 11am on Tuesday though"
"positive","#CFC @juanmata10 is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place) #MataMagic"
"negative","@rosanne_89 Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means I can't afford them :'("
"positive","@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;"
"positive","@jbmclendon And the same station that will air new episodes of COUGAR TOWN in January! @tbsveryfunny has been good to us, Jordan. #PennyCan"
"positive","I think I may have a heart attack for Jason Wu's new collection. So Charlotte Rampling in the Night  http://t.co/2KRW4kTn"
"positive","Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo!  Don't miss tomorrow night... http://t.co/i9asnsET"
"positive","Why would you still wear shorts when it's this cold?! I love how Britain see's a bit of sun and they're like 'OOOH LET'S STRIP!'"
"positive","Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng"
"positive","Kick-off your weekend with service! EV!'s Get on the Bus trip to the Boys &amp; Girls Club is Friday from 3-6! Hope to see you there :)"
"positive","@nater0driguez Lmfao alright u got me there. Good job Parker and the spurs, see y'all jan 9th. If I get an extra ticket to that game ur goin"
"negative","Desperation Day (February 13th)the most well known day in all mens life."
"negative",""@PaperChasinAL: Damn next Saturday tho" Niggas was trynna get shit over with #early"
"positive","@elifyk1 Hi Elif  Greetings from USA midwest  How is school going?  Happy Turkish Republic Day!  I can't wait for Nov 8 #NewGlee Yes!"
"positive","Hoping to look FIT tomorrow on the Jeremy Kyle show #ITVFashion"
"negative",""Obma fails 2unite us, he divides us by sex, color,party,age, wealth Nevada's 1st Latino governor votes early for Romney, predicts GOP win""
"positive","Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle..."
"positive","Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://t.co/LT9WUkOD"
"negative","Halloween may be the second worst holiday, right after valentine's day"
"positive","PUMPED to open the season tomorrow night against Georgetown!  Women's Preview: http://t.co/1k3PAK3C | Men's Preview: http://t.co/n5oFat9V"
"negative","Just found a piece of candy that may have been injected with something. #Why"
"positive","SAEED: #NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://t.co/c9PmolGw"
"positive","Omg. Ricky Martin may be gay but he is one fine ass gay man."
"positive","@lenakoncha the Clippers are playing the Cavaliers on Monday and are having a night to honor Israel! :) wish you were in LA STILL."
"positive","On the bright side tomorrow's CHOCOLATE DAY #getexcited"
"negative","Noel Gallagher: "Musicians are fucking idiots." - Yeah, Brian May - he's an idiot... an idiot who just so happens to be a professor?"
"positive","@HOPE_forHippies Hell yea lmfaoo , &amp; see you tomorrow Asia baby (;"
